open_time,open,high,low,close,volume
1678543200000,1.0,1.0,0.882,0.9129,108959660.0
1678546800000,0.9127,0.9179,0.9096,0.9128,53803548.0
1678550400000,0.9129,0.9226,0.9117,0.9209,60290210.0
1678554000000,0.9208,0.941,0.9203,0.9385,75317277.0
1678557600000,0.9385,0.9437,0.928,0.942,55537199.0
1678561200000,0.942,0.948,0.9394,0.9461,36085501.0
1678564800000,0.9461,0.9786,0.9458,0.9764,95718722.0
1678568400000,0.9764,0.9784,0.9482,0.9545,57778322.0
1678572000000,0.9545,0.9555,0.9477,0.9496,35146051.0
1678575600000,0.9496,0.9664,0.9486,0.9592,37662918.0
1678579200000,0.9593,0.963,0.9581,0.9605,22505103.0
1678582800000,0.9601,0.9744,0.96,0.9689,49686256.0
1678586400000,0.9689,0.9699,0.9624,0.9662,36184151.0
1678590000000,0.9662,0.97,0.9649,0.9691,30778343.0
1678593600000,0.9691,0.9698,0.959,0.9596,37561919.0
1678597200000,0.9596,0.965,0.9591,0.9599,33576633.0
1678600800000,0.96,0.9604,0.9438,0.9458,32584980.0
1678604400000,0.9458,0.9477,0.9323,0.9396,59652959.0
1678608000000,0.9395,0.9497,0.9394,0.9456,44546788.0
1678611600000,0.9456,0.9515,0.9456,0.9494,23809864.0
1678615200000,0.9495,0.954,0.9488,0.9527,21211411.0
1678618800000,0.9527,0.9585,0.9502,0.9529,36803716.0
1678622400000,0.9529,0.9539,0.9482,0.9507,26699698.0
1678626000000,0.9507,0.96,0.9502,0.9542,46643678.0
1678629600000,0.9541,0.9561,0.9462,0.9496,46302932.0
1678633200000,0.9495,0.9519,0.9478,0.9484,38125324.0
1678636800000,0.9485,0.9509,0.945,0.9477,33502493.0
1678640400000,0.9477,0.96,0.9471,0.9532,58859044.0
1678644000000,0.9532,0.9598,0.9476,0.9548,60194232.0
1678647600000,0.9548,0.9563,0.9516,0.9528,43741274.0
1678651200000,0.9528,0.9597,0.9525,0.9594,28327960.0
1678654800000,0.9595,0.9641,0.9589,0.9595,24535429.0
1678658400000,0.9594,0.9833,0.9566,0.9829,114978827.0
1678662000000,0.9828,0.9878,0.9789,0.9848,107254469.0
1678665600000,0.9848,0.988,0.9835,0.9874,59436502.0
1678669200000,0.9874,0.989,0.9859,0.9877,50521522.0
1678672800000,0.9877,0.9898,0.987,0.9897,58962961.0
1678676400000,0.9897,0.992,0.9881,0.9891,61303787.0
1678680000000,0.9891,0.9905,0.9868,0.9875,50137078.0
1678683600000,0.9876,0.9879,0.9861,0.9869,23471481.0
1678687200000,0.9869,0.9882,0.9855,0.9882,42167412.0
1678690800000,0.9882,0.9882,0.9867,0.9873,24380373.0
1678694400000,0.9873,0.9887,0.9863,0.9879,38182038.0
1678698000000,0.9879,0.9885,0.9853,0.986,39402901.0
1678701600000,0.986,0.9874,0.9838,0.986,34429787.0
1678705200000,0.9861,0.9873,0.9859,0.987,17089126.0
1678708800000,0.987,0.9903,0.987,0.9901,34358958.0
1678712400000,0.9901,0.9947,0.9901,0.9944,87668870.0
1678716000000,0.9944,0.9949,0.9907,0.9923,84562338.0
1678719600000,0.9924,0.9949,0.9905,0.9939,99434640.0
1678723200000,0.9939,0.9947,0.9925,0.9941,51587036.0
1678726800000,0.9941,0.996,0.994,0.9955,59796441.0
1678730400000,0.9954,0.9962,0.9949,0.9959,37305523.0
1678734000000,0.9959,0.9964,0.9949,0.9953,21736492.0
1678737600000,0.9953,0.9961,0.9946,0.9946,18456184.0
1678741200000,0.9947,0.9954,0.9942,0.995,14739141.0
1678744800000,0.9949,0.9957,0.9947,0.9956,13416007.0
1678748400000,0.9955,0.9958,0.9945,0.9949,13961388.0
1678752000000,0.995,0.9953,0.9948,0.9949,6967093.0
1678755600000,0.9949,0.9951,0.9946,0.9947,10160381.0
1678759200000,0.9948,0.995,0.9942,0.9944,12357434.0
1678762800000,0.9944,0.9946,0.9931,0.9943,13962739.0
1678766400000,0.9942,0.9947,0.994,0.9941,11366631.0
1678770000000,0.9942,0.9947,0.9938,0.994,16632357.0
1678773600000,0.994,0.9947,0.9937,0.9938,21896104.0
1678777200000,0.9938,0.9941,0.9931,0.9934,26646232.0
1678780800000,0.9935,0.9939,0.9932,0.9938,21132153.0
1678784400000,0.9939,0.9949,0.9938,0.9941,26697951.0
1678788000000,0.9941,0.9948,0.9938,0.9943,38100350.0
1678791600000,0.9943,0.9949,0.994,0.9948,32056594.0
1678795200000,0.9947,0.995,0.9929,0.9936,56000526.0
1678798800000,0.9936,0.9944,0.9931,0.9943,48787324.0
1678802400000,0.9943,0.9953,0.9942,0.9945,54804846.0
1678806000000,0.9945,0.9954,0.9939,0.9951,63458940.0
1678809600000,0.9951,0.9956,0.9948,0.9955,29257480.0
1678813200000,0.9954,0.9961,0.9953,0.996,30112492.0
1678816800000,0.9961,0.9969,0.9957,0.9959,48501779.0
1678820400000,0.9959,0.9962,0.9949,0.9954,103696152.0
1678824000000,0.9953,0.9959,0.9932,0.9957,178704893.0
1678827600000,0.9957,0.9959,0.9949,0.9956,39786698.0
1678831200000,0.9956,0.996,0.9948,0.9958,24292598.0
1678834800000,0.9958,0.9962,0.9957,0.9961,22138294.0
1678838400000,0.9961,0.9962,0.9959,0.996,17724565.0
1678842000000,0.9961,0.9962,0.9956,0.9957,20588612.0
