venue,symbol,open_time,low,close,volume
Binance,USDPUSDT,1678543200000,0.9402,0.9673,2736612.0
Binance,USDPUSDT,1678546800000,0.9599,0.9776,1924790.0
Binance,USDPUSDT,1678550400000,0.971,0.9734,1239208.0
Binance,USDPUSDT,1678554000000,0.9721,0.9809,180405.0
Binance,USDPUSDT,1678557600000,0.9743,0.9847,780906.0
Binance,USDPUSDT,1678561200000,0.9825,0.9848,242042.0
Binance,USDPUSDT,1678564800000,0.978,0.989,726049.0
Binance,USDPUSDT,1678568400000,0.97,0.983,1719896.0
Binance,USDPUSDT,1678572000000,0.9818,0.9818,3314705.0
Binance,USDPUSDT,1678575600000,0.9784,0.9925,2190330.0
Binance,USDPUSDT,1678579200000,0.99,0.991,1422132.0
Binance,USDPUSDT,1678582800000,0.9836,0.99,835076.0
Binance,USDPUSDT,1678586400000,0.9835,0.99,227946.0
Binance,USDPUSDT,1678590000000,0.9833,0.9837,358792.0
Binance,USDPUSDT,1678593600000,0.9839,0.9865,408854.0
Binance,USDPUSDT,1678597200000,0.977,0.98,389432.0
Binance,USDPUSDT,1678600800000,0.978,0.9783,1246543.0
Binance,USDPUSDT,1678604400000,0.9706,0.971,1230050.0
Binance,USDPUSDT,1678608000000,0.9707,0.9715,334170.0
Binance,USDPUSDT,1678611600000,0.9715,0.9801,892319.0
Binance,USDPUSDT,1678615200000,0.9801,0.9806,1005086.0
Binance,USDPUSDT,1678618800000,0.976,0.9823,646589.0
Binance,USDPUSDT,1678622400000,0.976,0.9821,512988.0
Binance,USDPUSDT,1678626000000,0.9767,0.9815,554843.0
Binance,USDPUSDT,1678629600000,0.9761,0.9838,707134.0
Binance,USDPUSDT,1678633200000,0.9755,0.9834,761748.0
Binance,USDPUSDT,1678636800000,0.9827,0.9849,50738.0
Binance,USDPUSDT,1678640400000,0.9805,0.9848,81963.0
Binance,USDPUSDT,1678644000000,0.9821,0.9821,129796.0
Binance,USDPUSDT,1678647600000,0.9805,0.9806,333463.0
Binance,USDPUSDT,1678651200000,0.979,0.9819,314313.0
Binance,USDPUSDT,1678654800000,0.9798,0.9829,344513.0
Binance,USDPUSDT,1678658400000,0.9791,0.9835,57922.0
Binance,USDPUSDT,1678662000000,0.9802,0.9841,2892921.0
Binance,USDPUSDT,1678665600000,0.9842,0.99,1612247.0
Binance,USDPUSDT,1678669200000,0.9855,0.989,1187990.0
Binance,USDPUSDT,1678672800000,0.9861,0.9882,879830.0
Binance,USDPUSDT,1678676400000,0.9876,0.9907,2104634.0
Binance,USDPUSDT,1678680000000,0.9876,0.9884,3006851.0
Binance,USDPUSDT,1678683600000,0.9846,0.986,628124.0
Binance,USDPUSDT,1678687200000,0.986,0.9869,508668.0
Binance,USDPUSDT,1678690800000,0.9852,0.9892,361299.0
Binance,USDPUSDT,1678694400000,0.9879,0.988,1066902.0
Binance,USDPUSDT,1678698000000,0.9863,0.9872,217641.0
Binance,USDPUSDT,1678701600000,0.9852,0.9862,3297872.0
Binance,USDPUSDT,1678705200000,0.9848,0.985,639799.0
Binance,USDPUSDT,1678708800000,0.984,0.9882,848318.0
Binance,USDPUSDT,1678712400000,0.9873,0.993,1135992.0
Binance,USDPUSDT,1678716000000,0.9902,0.9915,787887.0
Binance,USDPUSDT,1678719600000,0.9873,0.988,329257.0
Binance,USDPUSDT,1678723200000,0.988,0.9909,252819.0
Binance,USDPUSDT,1678726800000,0.9882,0.995,1799492.0
Binance,USDPUSDT,1678730400000,0.995,0.996,426410.0
Binance,USDPUSDT,1678734000000,0.995,0.995,6598.0
Binance,USDPUSDT,1678737600000,0.995,0.995,177862.0
Binance,USDPUSDT,1678741200000,0.995,0.995,431388.0
Binance,USDPUSDT,1678744800000,0.9951,0.9953,21660.0
Binance,USDPUSDT,1678748400000,0.996,0.996,406777.0
Binance,USDPUSDT,1678752000000,0.9954,0.9954,1587125.0
Binance,USDPUSDT,1678755600000,0.995,0.996,102073.0
Binance,USDPUSDT,1678759200000,0.9944,0.996,63434.0
Binance,USDPUSDT,1678762800000,0.9944,0.9944,828274.0
Binance,USDPUSDT,1678766400000,0.9944,0.9947,770492.0
Binance,USDPUSDT,1678770000000,0.9946,0.9952,107439.0
Binance,USDPUSDT,1678773600000,0.9948,0.9948,176320.0
Binance,USDPUSDT,1678777200000,0.9948,0.9948,15067.0
Binance,USDPUSDT,1678780800000,0.9935,0.9949,515209.0
Binance,USDPUSDT,1678784400000,0.9936,0.9962,2307870.0
Binance,USDPUSDT,1678788000000,0.9954,0.9968,26809.0
Binance,USDPUSDT,1678791600000,0.995,0.9963,638312.0
Binance,USDPUSDT,1678795200000,0.995,0.995,263429.0
Binance,USDPUSDT,1678798800000,0.994,0.995,783098.0
Binance,USDPUSDT,1678802400000,0.995,0.9952,425170.0
Binance,USDPUSDT,1678806000000,0.996,0.9966,1025345.0
Binance,USDPUSDT,1678809600000,0.9953,0.9966,2093103.0
Binance,USDPUSDT,1678813200000,0.9966,0.997,6433505.0
Binance,USDPUSDT,1678816800000,0.9969,0.997,1207876.0
Binance,USDPUSDT,1678820400000,0.9907,0.9952,528577.0
Binance,USDPUSDT,1678824000000,0.9956,0.9956,132.0
Binance,USDPUSDT,1678827600000,0.9955,0.9955,55651.0
Binance,USDPUSDT,1678831200000,0.9955,0.997,145549.0
Binance,USDPUSDT,1678834800000,0.9961,0.9961,53097.0
Binance,USDPUSDT,1678838400000,0.9962,0.9962,457.0
Binance,USDPUSDT,1678842000000,0.996,0.996,124133.0
Binance,USDPUSDT,1678845600000,0.996,0.9961,493857.0
Binance,USDPUSDT,1678849200000,0.996,0.996,621049.0
Binance,USDPUSDT,1678852800000,0.9955,0.9955,151742.0
Binance,USDPUSDT,1678856400000,0.9949,0.9959,618955.0
Binance,USDPUSDT,1678860000000,0.9949,0.995,91276.0
Binance,USDPUSDT,1678863600000,0.9952,0.9963,49037.0
Binance,USDPUSDT,1678867200000,0.9952,0.9952,855023.0
Binance,USDPUSDT,1678870800000,0.9944,0.9944,204932.0
Binance,USDPUSDT,1678874400000,0.9944,0.9948,2867.0
Binance,USDPUSDT,1678878000000,0.9948,0.9948,5536.0
Binance,USDPUSDT,1678881600000,0.9948,0.9954,25145.0
Binance,USDPUSDT,1678885200000,0.9952,0.9958,1331521.0
Binance,USDPUSDT,1678888800000,0.9957,0.9971,6016357.0
Binance,USDPUSDT,1678892400000,0.9966,0.998,9883930.0
Binance,USDPUSDT,1678896000000,0.998,0.9988,1636106.0
Binance,USDPUSDT,1678899600000,0.9983,0.9989,18691.0
Binance,USDPUSDT,1678903200000,0.9975,0.9993,68420.0
Binance,USDPUSDT,1678906800000,0.9983,0.9984,116513.0
Binance,USDPUSDT,1678910400000,0.9975,0.9982,72861.0
Binance,USDPUSDT,1678914000000,0.9975,0.9976,35739.0
Binance,USDPUSDT,1678917600000,0.9974,0.9975,148930.0
Binance,USDPUSDT,1678921200000,0.9974,0.9975,179568.0
Binance,USDPUSDT,1678924800000,0.9954,0.9971,93595.0
Binance,USDPUSDT,1678928400000,0.9966,0.9966,402806.0
Binance,USDPUSDT,1678932000000,0.9967,0.997,9988.0
Binance,USDPUSDT,1678935600000,0.9967,0.9967,3753.0
Binance,USDPUSDT,1678939200000,0.9967,0.9967,56651.0
Binance,USDPUSDT,1678942800000,0.9966,0.997,57595.0
Binance,USDPUSDT,1678946400000,0.997,0.9971,19928.0
Binance,USDPUSDT,1678950000000,0.9969,0.9971,9049.0
Binance,USDPUSDT,1678953600000,0.9969,0.9971,477771.0
Binance,USDPUSDT,1678957200000,0.9971,0.9978,1825.0
Binance,USDPUSDT,1678960800000,0.9971,0.9977,2704.0
Binance,USDPUSDT,1678964400000,0.9969,0.9971,168243.0
Binance,USDPUSDT,1678968000000,0.9969,0.9969,910830.0
Binance,USDPUSDT,1678971600000,0.9969,0.9977,426010.0
Binance,USDPUSDT,1678975200000,0.9973,0.9975,1814326.0
