hour_utc,block_number,block_timestamp_utc
2023-03-08T00:00:00Z,16779843,2023-03-07T23:59:59Z
2023-03-08T01:00:00Z,16780136,2023-03-08T00:59:59Z
2023-03-08T02:00:00Z,16780435,2023-03-08T01:59:59Z
2023-03-08T03:00:00Z,16780732,2023-03-08T02:59:59Z
2023-03-08T04:00:00Z,16781024,2023-03-08T03:59:59Z
2023-03-08T05:00:00Z,16781320,2023-03-08T04:59:59Z
2023-03-08T06:00:00Z,16781617,2023-03-08T05:59:59Z
2023-03-08T07:00:00Z,16781915,2023-03-08T06:59:59Z
2023-03-08T08:00:00Z,16782212,2023-03-08T07:59:59Z
2023-03-08T09:00:00Z,16782508,2023-03-08T08:59:59Z
2023-03-08T10:00:00Z,16782807,2023-03-08T09:59:59Z
2023-03-08T11:00:00Z,16783104,2023-03-08T10:59:59Z
2023-03-08T12:00:00Z,16783395,2023-03-08T11:59:59Z
2023-03-08T13:00:00Z,16783694,2023-03-08T12:59:59Z
2023-03-08T14:00:00Z,16783991,2023-03-08T13:59:59Z
2023-03-08T15:00:00Z,16784287,2023-03-08T14:59:59Z
2023-03-08T16:00:00Z,16784586,2023-03-08T15:59:59Z
2023-03-08T17:00:00Z,16784879,2023-03-08T16:59:59Z
2023-03-08T18:00:00Z,16785176,2023-03-08T17:59:59Z
2023-03-08T19:00:00Z,16785469,2023-03-08T18:59:59Z
2023-03-08T20:00:00Z,16785766,2023-03-08T19:59:59Z
2023-03-08T21:00:00Z,16786062,2023-03-08T20:59:59Z
2023-03-08T22:00:00Z,16786361,2023-03-08T21:59:59Z
2023-03-08T23:00:00Z,16786653,2023-03-08T22:59:59Z
2023-03-09T00:00:00Z,16786948,2023-03-08T23:59:59Z
2023-03-09T01:00:00Z,16787245,2023-03-09T00:59:59Z
2023-03-09T02:00:00Z,16787545,2023-03-09T01:59:59Z
2023-03-09T03:00:00Z,16787837,2023-03-09T02:59:59Z
2023-03-09T04:00:00Z,16788131,2023-03-09T03:59:59Z
2023-03-09T05:00:00Z,16788428,2023-03-09T04:59:59Z
2023-03-09T06:00:00Z,16788725,2023-03-09T05:59:59Z
2023-03-09T07:00:00Z,16789023,2023-03-09T06:59:59Z
2023-03-09T08:00:00Z,16789320,2023-03-09T07:59:59Z
2023-03-09T09:00:00Z,16789617,2023-03-09T08:59:59Z
2023-03-09T10:00:00Z,16789915,2023-03-09T09:59:59Z
2023-03-09T11:00:00Z,16790214,2023-03-09T10:59:59Z
2023-03-09T12:00:00Z,16790510,2023-03-09T11:59:59Z
2023-03-09T13:00:00Z,16790808,2023-03-09T12:59:59Z
2023-03-09T14:00:00Z,16791100,2023-03-09T13:59:59Z
2023-03-09T15:00:00Z,16791396,2023-03-09T14:59:59Z
2023-03-09T16:00:00Z,16791695,2023-03-09T15:59:59Z
2023-03-09T17:00:00Z,16791995,2023-03-09T16:59:59Z
2023-03-09T18:00:00Z,16792289,2023-03-09T17:59:59Z
2023-03-09T19:00:00Z,16792584,2023-03-09T18:59:59Z
2023-03-09T20:00:00Z,16792880,2023-03-09T19:59:59Z
2023-03-09T21:00:00Z,16793171,2023-03-09T20:59:59Z
2023-03-09T22:00:00Z,16793469,2023-03-09T21:59:59Z
2023-03-09T23:00:00Z,16793767,2023-03-09T22:59:59Z
2023-03-10T00:00:00Z,16794061,2023-03-09T23:59:59Z
2023-03-10T01:00:00Z,16794357,2023-03-10T00:59:59Z
2023-03-10T02:00:00Z,16794649,2023-03-10T01:59:59Z
2023-03-10T03:00:00Z,16794943,2023-03-10T02:59:59Z
